,0
0,0.6750057384876795
1,1.6126477057331932
2,0.8783292141956396
3,1.0743240342921
4,0.9636065860404157
5,0.5343597056254148
6,0.6508814407132485
7,0.9683006498160419
8,1.4947426841195375
9,0.6247078116399766
10,0.6638507683441225
11,0.6479756570422723
12,0.7724763083960411
13,1.3301587820037275
14,1.3745425985686293
15,1.5668081979751736
16,0.9042880082039007
17,1.1007797033009992
18,0.5714755431049603
19,0.6627221869418892
20,0.9780482890055545
21,0.9213317782888069
22,1.802070652474554
23,1.135748759206431
24,0.393411330790933
25,1.1392459381735711
26,1.077626102138813
27,1.0873576391774864
28,0.567403652875633
