,0
0,2.9840758057100056
1,3.6834465478374345
2,1.3664575267444234
3,0.8520968608223666
4,0.9973837188245631
5,1.1924973177315594
6,1.6319949858921607
7,2.112375884817873
8,4.16364219126517
9,1.332213673679589
10,0.6873901735129259
11,0.8487252827417011
12,0.7580397235716124
13,0.6865704520396622
14,1.6775171341919553
15,2.90916214963098
16,1.5195331300434782
17,1.2484286616537956
18,1.6108000353920164
19,2.269037403972682
20,2.151861400621317
21,2.6398567380591054
22,4.0521724394481735
23,1.4002536036583113
24,0.6866990565918386
25,1.4733524169299221
26,1.5986121005387528
27,2.688806557268085
28,3.1337491643919306
