,Mahalanobis
0,9.316115725592296
1,21.211421093188537
2,10.582156012945052
3,9.197449990551162
4,9.934807632682977
5,9.53136689976805
6,9.94226610985518
7,9.032937517652677
8,10.629875235002183
9,10.582323026145412
10,9.714294736626783
11,10.577446367462343
12,9.933856107725537
13,11.40176927946443
14,9.595750247520874
15,9.324490492958157
16,9.609937578179586
17,9.407472551474113
18,10.01662494874451
19,9.464879791208006
20,11.408797753458614
21,9.372814079168675
22,10.475209574777645
23,11.715280829797045
24,12.439104623356618
25,9.374191994843475
26,9.876671425849196
27,9.880623706876824
28,9.869300562290347
29,10.109534611251632
30,10.801635751400843
31,10.150821423442288
32,11.558015006294562
33,12.392517322672768
34,11.574541385563776
35,10.644908161164667
36,11.511552129305349
37,10.324931319891386
38,10.137724557531133
39,9.73878353368354
40,9.489800598217697
41,9.92100125574117
42,9.671106282970554
43,9.835257187306976
44,9.710223972743655
45,10.206500657914708
46,9.457927650973394
47,9.302561810649006
48,9.409301469296071
49,10.667453801773457
50,9.609268982409363
51,11.539149718576876
52,9.953438386567969
53,9.511157954104267
54,10.768287392981232
55,12.760994577152925
56,10.87138091536176
57,10.956714375968337
58,12.72153078856915
59,10.644828348343104
60,10.417872267580789
61,11.334472748699616
62,12.667787541069087
63,10.244480821660758
64,10.044058024119781
65,9.565062053939176
66,9.437376185813084
67,12.56129148112292
68,9.612149302924834
69,10.76673082726556
70,9.484473210135501
71,10.101120317115326
72,9.447231023972165
73,12.776685903055856
74,9.875693240713984
75,9.456584234134052
76,11.164380420173345
77,9.587869183975105
78,10.865145804933947
79,12.843768138333386
80,13.049137560966447
81,17.332922146800406
82,22.989628260607446
83,17.41215786694086
84,16.755143244480916
85,16.16656198814973
86,17.127604002576348
87,13.52612957484913
88,23.393088351487584
89,21.315302630442076
90,18.36286712250784
